Test,Ref,Unit
APPEARANCE,CLEAR,
BACTERIA,ABSENT,
BILE PIGMENTS,ABSENT,
BILE SALTS,ABSENT,
BLOOD,ABSENT,
BLOOD GROUP,,
BLOOD UREA NITROGEN (BUN),4-22,mg/dL
CASTS,ABSENT,
COLOUR,PALE YELLOW,
CRYSTALS,ABSENT,
EPITHELIAL CELLS,3-4,/hpf
GLUCOSE,ABSENT,
HbA1C,For diagnosis of Diabetes Mellitus;,%
HbA1C,-,%
KETONE BODIES,ABSENT,
LDL/HDL,1.5-3.5,mg/dL
MPV,6-10,fl
NITRATE,ABSENT,
OTHER FINDINGS,ABSENT,
pH,5-8.5,
PLATELET MORPHOLOGY,Adequate on Smear,
PUS CELLS,1-2,/ hpf
QUANTITY EXAMINED,5-30,ml
R.B.Cs,ABSENT,/hpf
RBC MORPHOLOGY,Normocytic Normochromic,
SPECIFIC GRAVITY,1.005-1.035,
SR. HDL,Negative risk factor for heart disease:>60,mg/dL
SR. LDL,60-150,mg/dL
SR. VLDL,5-40,mg/dL
T.C./HDL,3-5,mg/dL
UROBILINOGEN,ABSENT,
WBC MORPHOLOGY,Within Normal Limit,
S.G.O.T,,IU/L
Bilirubun,0-0.5,mg/dL
S.G.P.T,5-45,IU/L
BASOPHILS,0-2,%
25 - HYDROXYVITAMIN D,Deficiency: 0-20.0,mg/mL
"5 AMINO LEVUNIC ACID (5-ALA), RANDOM URINE",0-4.50,mg/L
"5- AMINO LEVULINIC ACID (5-ALA), RANDOM URINE",0-4.50,mg/L
5-ALA,1.50-7.50,mg/day
"5-AMINO LEVULINIC ACID (5-ALA), RANDOM URINE",0-4.50,mg/L
5-AMINO LEVULINIC ACID 5-ALA QUANTITATIVE 5-ALA,1.50-7.50,mg/day
S.G.P.T,9-43,U/L
PusCells,,/HPF
E. S. R.,0-10,mm
A/G RATIO,0.8-1.2,
A/G Ratio,1.30-2.10,
T3,0.7-2.04,ng/mL
T4,4.6-10.5,µg/dL
TSH,0.4-4.2,µIU/mL
CHOLESTEROL,0-200,mg/dL
TRIGLYCERIDES,0-150,mg/dL
A/G Ratio,1.0-2.3:1,
SGOT,0-40,IU/L
SGPT,5.0-40,IU/L
Alkaline Phosphatase,,U/L
"A/G RATIO, Serum",1-2,
A:G RATIO,1.2-2.3,
Abnormalities of RBC,,
Abnormalities of WBC,,
ABO BLOOD GROUP,,
ABO GROUP,,
SUGAR,Absent,
Absolute Eosinophils,20-500,/cmm
ABSOLUTE BASOPHIL COUNT,0.02-0.10,thou/µL
ABSOLUTE BASOPHIL COUNT,0-150,cells/microL
Absolute Basophil Count,20-100,/c.mm
Absolute Basophils,20-100,/cmm
ABSOLUTE EOSINOPHIL COUNT,0.02-0.50,thou/µL
Absolute Eosinophil Count,20-500,/c.mm
ABSOLUTE EOSINOPHIL COUNT,40-440,Cells/microL
ABSOLUTE EOSINOPHIL COUNT,40-440,Cells/micro L
ABSOLUTE EOSINOPHIL COUNT,50-350,/cumm
ABSOLUTE LYMPHOCYTE COUNT,1.0-3.0,thou/µL
Absolute Lymphocyte Count,1000-3000,/c.mm
ABSOLUTE LYMPHOCYTE COUNT,1000-4000,
ABSOLUTE LYMPHOCYTE COUNT,0.02-0.50,thou/L
ACID FAST BACILLI / AFB,I,Negative
AFB (Smear Acid Fast bacilli),,
AFB MICROSCOPY,,
AFB STAIN,,
AIANINE AMINOTRANSFERASE(ALT/SGPT),17-63,U/L
AIK.Phosphatase,108-306,IU/L
"ALALNINE AMINOTRANSFERASE (ALT/SGPT), SERUM",17-63,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),4-44,U/L
ALANINE AMINO TRANSFERASE (SGPT),0.1-41,IU/L
"ALANINE AMINOTRANSFE(ALT/SGPT), SERUMRASE",21-72,U/L
Basophil,0-l-2;,%
ALANINE AMINOTRANSFERASE,9-52,U/L
ALANINE AMINOTRANSFERASE,14-59,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",17-63,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGOPT), SERUM",21-72,u/L
"ALANINE AMINOTRANSFERASE (ALT/SGOT), serum",21-72,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),17-63,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),0-45.0,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),High 0-45,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),21-72,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),High 0-40.5,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),9-52,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),0-34.0,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),High 0-45.0,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),0-41,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),0-33,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),0-45,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),0-34,U/L
ALANINE AMINOTRANSFERASE (ALT/SGPT),14-59,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",21-72,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",4.44,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",4-44,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",9-52,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",High 0-45,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",14-59,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",0-41,U/L
"ALANINE AMINOTRANSFERASE (ALT/SGPT), SERUM",27-72,U/L
"ALANINE AMINOTRANSFERASE (AST/SGPT), SERUM",17-63,U/L
ALANINE AMINOTRANSFERASE SERUM ALANINE AMINOTRANSFERASE ALT/SGPT,,U/L
"ALANINE AMINOTRANSFERASE(ALT/AGPT), SERUM",17-63,U/L
ALANINE AMINOTRANSFERASE(ALT/SGPT),17-63,U/L
ALANINE AMINOTRANSFERASE(ALT/SGPT),4-44,U/L
ALANINE AMINOTRANSFERASE(ALT/SGPT),0-41,U/L
ALANINE AMINOTRANSFERASE(ALT/SGPT),21-72,U/L
"ALANINE AMINOTRANSFERASE(ALT/SGPT), SERUM",17-63,u/L
"ALANINE AMINOTRANSFERASE(ALT/SGPT), SERUM",4-44,U/L
"ALANINE AMINOTRANSFERASE(ALT/SGPT), SERUM",21-72,U/L
"ALANINE AMINOTRANSFERASE(ALT/SGPT), SERUM",14-59,U/L
"ALANINE AMINOTRANSFERASE(ALT/SGPT), SERUM",9-52,U/L
"ALANINE AMINOTRANSFERASE(ALT/SGPT), SERUM",0-41,U/L
"ALANINE AMINOTRANSFERASE, SERUM (ALT/SGPT)",0-45.0,U/L
"ALANINE AMINOTRANSFTRASE(ALT/SGPT), SERUM",17-63,U/L
ALANINE AMlNOTRANSFERASE (ALT/SGPT),4-44,U/L
ALANINE AMlNOTRANSFERASE (ALT/SGPT),17-63,U/L
"ALANINE AMlNOTRANSFERASE(ALT/SGPT), SERUM",4-4.4,U/L
"ALANINE AMlNOTRANSFERASE(ALT/SGPT), NAF PLAMA",4-44,U/L
Albumin,,
ALBUMIN,3.4-5.0,g/dL
ALBUMIN,3.4-5.6,g/dl
ALBUMIN,3.8-5.0,g/dL
ALBUMIN,3.7-5.2,g/dl
ALBUMIN,ABSENT,
ALBUMIN,3.5-5,g/dL
ALBUMIN,3.8-4.4,g/dL
Albumin,Nil,
Albumin,3.5-5.0,g/dl
ALBUMIN,3.5-5.2,g/dl
Albumin,3.50-5.00,g/dL
Albumin,3.4-5.0,U/L
ALBUMIN,g/dl,3.7-5.2
ALBUMIN,3.4-4.8,g/dL
ALBUMIN,3.50-5.20,g/dL
ALBUMIN,3.5 5.5 o/dl,g/dl
Albumin,3.2-5.0,gm/dl
Albumin,3.2-5.0,
ALBUMIN,3.5-5.5,p/dl g/dl
ALBUMIN,ams/dl,
Albumin,gms% 3.5 5.0,
Albumin,3.2-5.Ogm/dl,gmidi
Albumin,3.5-5,em/dl
"ALBUMIN, Serum",3.5-5.2,g/dL
ALBUMIN/GLOBULIN RATIO,1.0-2.0,RATIO
Alk Phosphatase,40-140,IU/L
ALK Phosphates,37-147,U/L
ALKA-PHOS,0-270,U/L
ALKALINE PHOSPHATASE,40-120,U/L
ALKALINE PHOSPHATASE,64-306;,IU/L
ALKALINE PHOSPHATASE,32-111,U/L
ALKALINE PHOSPHATASE,38-126,U/L
ALKALINE PHOSPHATASE,53-128,U/L
Alkaline Phosphatase,36-113,IU/L
ALKALINE PHOSPHATASE,40-120,g/dL
ALKALINE PHOSPHATASE,40-129,U/L
ALKALINE PHOSPHATASE,35-104,U/L
Alkaline Phosphatase,15-112,IU/L
ALKALINE PHOSPHATASE,,UL
Alkaline Phosphatase,,IU/L
Alkaline Phosphatase,80-306,U/L
"ALKALINE PHOSPHATASE, Serum",40-130,U/L
ALKALINE PHOSPHATE,30-117,U/L
ALKALINE PHOSPHATASE,40-160 Children 100-750,IU/L Adults IU/L IU/L
ALKALINE PHOSPHATASE,Adults 40-160 Children 100-750,IU/L
ALT (SGPT),5-40,mg/dL
ALT (SGPT),6-45,U/L
ALT (SGPT),0-35,U/L
ALT (SGPT),5-40,U/L
ALT (SGPT),Male: 0-50,U/L
ALT (SGPT),5-35,U/L
ALT (SGPT),5-45,U/L
ALT (SGPT),16-63,IU/L
ALT SGPT SERUM ASPARTATE,14-36,
ALT(SGPT),5-45,U/L
ALT(SGPT) SERUM/PLASMA,0-40,U/L
ALT/SGPT SERUM ASPARTATE AMINOTRANSFERASE,14-36,U/L
ALT/SGPT SERUM phosphate CREATININE SERUM,0.55-1.02,mg/dL
ALY#,0.00-0.20,x10^9/L
ALY#,0.00-0.20,
ALY%,0.0-2.0,%
ALY%,0.0-2.0,
Amorphous,,
Amorphous Debris,Absent,
Amorphous debris,,
Amorphous Deposits,,
Amorphous deposits,Absent,
Amorphous Deposits,,/HPF
Amorphous Mat,,
Amorphous Material,Absent,
Amorphous Material,,
AMOUNT,,
Anisocytosis,,
Any Medication,,
Any other,,
Any Other,Absent,
Aorta,,cm
Aortic Valve,,
APPEARANCE,,
APPEARANCE,HAZY,
Appetite,,
Arota,,cm.
AROTA NORMAL,,
"ASPARTATE AIMINOTRANSFERASE(ALT/SGOT), SERUM",8-38,U/L
ASPARTATE AIMINOTRANSFERASE(AST/SGOT),8-38,U/L
"ASPARTATE AIMINOTRANSFERASE(AST/SGOT), SERUM",8-38,U/L
"ASPARTATE AMIINOTRANSFERASE(AST/SGOT), SERUM",8-38,U/L
"ASPARTATE AMINOTRAI ISFERASE (AST/SGOT), SERUM",14-40,U/L
ASPARTATE AMINOTRANSFERASE,14-40,U/L
"ASPARTATE AMINOTRANSFERASE (AST/SGOT), SERUM",17-59,U/L
"ASPARTATE AMINOTRANSFERASE ( AST / SGOT), SERUM",14-40,U/L
"ASPARTATE AMINOTRANSFERASE ( AST/SGOT), SERUM",14-40,U/L
"ASPARTATE AMINOTRANSFERASE ( AST/SGOT), SERUM",0-37,U/L
ASPARTATE AMINOTRANSFERASE ((AST/SGOT)),17-59,U/L
"ASPARTATE AMINOTRANSFERASE (ALT/SGOT), serum",14-40,U/L
"ASPARTATE AMINOTRANSFERASE (ALT/SGOT), SERUM",17-59,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),14-40,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),15-37,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),0-40,U/L
ASPARTATE AMINOTRANSFERASE (AST/SGOT),8-38,U/L
